fp_id,s1,s2,s3,s4,s5,name
202,22,27,12,4,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/202.jpg
203,17,25,21,6,5,/home/mohammed/server/FMVLD/Impression_1/fp_1/203.jpg
204,35,16,13,3,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/204.jpg
205,13,29,9,8,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/205.jpg
206,20,24,11,4,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/206.jpg
207,27,21,15,6,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/207.jpg
208,18,18,14,9,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/208.jpg
209,21,28,10,14,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/209.jpg
210,16,15,17,9,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/210.jpg
211,15,25,15,3,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/211.jpg
212,22,21,13,2,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/212.jpg
213,19,24,21,4,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/213.jpg
214,22,22,18,5,15,/home/mohammed/server/FMVLD/Impression_1/fp_1/214.jpg
215,19,26,8,8,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/215.jpg
216,17,13,15,2,5,/home/mohammed/server/FMVLD/Impression_1/fp_1/216.jpg
217,24,39,18,6,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/217.jpg
218,15,22,11,6,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/218.jpg
219,20,23,12,7,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/219.jpg
220,21,32,4,8,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/220.jpg
221,21,32,26,5,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/221.jpg
222,26,30,18,5,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/222.jpg
223,24,28,9,11,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/223.jpg
224,23,34,18,7,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/224.jpg
225,17,15,19,6,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/225.jpg
226,22,23,10,7,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/226.jpg
227,28,28,11,6,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/227.jpg
228,23,21,16,4,14,/home/mohammed/server/FMVLD/Impression_1/fp_1/228.jpg
229,22,24,20,6,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/229.jpg
230,24,28,17,6,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/230.jpg
231,22,23,16,5,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/231.jpg
232,21,32,16,4,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/232.jpg
233,17,35,16,3,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/233.jpg
234,23,23,15,7,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/234.jpg
235,19,28,11,6,5,/home/mohammed/server/FMVLD/Impression_1/fp_1/235.jpg
236,24,22,12,0,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/236.jpg
237,29,34,12,7,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/237.jpg
238,18,26,10,4,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/238.jpg
239,31,24,22,1,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/239.jpg
240,19,32,15,5,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/240.jpg
241,21,32,11,1,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/241.jpg
242,34,36,9,9,15,/home/mohammed/server/FMVLD/Impression_1/fp_1/242.jpg
243,21,31,17,1,3,/home/mohammed/server/FMVLD/Impression_1/fp_1/243.jpg
244,30,31,18,8,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/244.jpg
245,24,19,15,7,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/245.jpg
246,26,22,16,7,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/246.jpg
247,30,31,18,7,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/247.jpg
248,15,24,10,2,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/248.jpg
249,28,20,17,2,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/249.jpg
250,33,20,9,4,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/250.jpg
251,16,17,9,8,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/251.jpg
252,22,26,11,1,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/252.jpg
253,14,17,4,3,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/253.jpg
254,23,18,7,7,3,/home/mohammed/server/FMVLD/Impression_1/fp_1/254.jpg
255,26,27,10,7,5,/home/mohammed/server/FMVLD/Impression_1/fp_1/255.jpg
256,19,27,9,3,14,/home/mohammed/server/FMVLD/Impression_1/fp_1/256.jpg
257,43,19,16,5,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/257.jpg
258,34,31,16,9,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/258.jpg
259,26,20,6,5,5,/home/mohammed/server/FMVLD/Impression_1/fp_1/259.jpg
260,18,19,11,7,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/260.jpg
261,17,22,16,4,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/261.jpg
262,16,21,10,4,3,/home/mohammed/server/FMVLD/Impression_1/fp_1/262.jpg
263,26,40,7,9,3,/home/mohammed/server/FMVLD/Impression_1/fp_1/263.jpg
264,23,28,7,7,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/264.jpg
265,20,27,14,8,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/265.jpg
266,31,37,21,9,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/266.jpg
267,24,23,17,6,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/267.jpg
268,20,26,10,4,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/268.jpg
269,33,28,16,11,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/269.jpg
270,12,27,5,10,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/270.jpg
271,15,31,16,2,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/271.jpg
272,21,24,10,5,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/272.jpg
273,28,22,15,4,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/273.jpg
274,24,36,9,7,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/274.jpg
275,26,37,12,3,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/275.jpg
276,31,41,9,7,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/276.jpg
277,23,21,12,8,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/277.jpg
278,22,35,17,6,14,/home/mohammed/server/FMVLD/Impression_1/fp_1/278.jpg
279,23,24,10,3,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/279.jpg
280,24,27,32,5,12,/home/mohammed/server/FMVLD/Impression_1/fp_1/280.jpg
281,12,28,19,5,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/281.jpg
282,18,21,14,8,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/282.jpg
283,26,26,10,7,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/283.jpg
284,21,35,14,5,5,/home/mohammed/server/FMVLD/Impression_1/fp_1/284.jpg
285,21,17,17,4,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/285.jpg
286,15,24,12,4,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/286.jpg
287,22,30,12,4,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/287.jpg
288,19,27,13,4,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/288.jpg
289,34,40,9,4,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/289.jpg
290,28,20,10,4,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/290.jpg
291,26,38,15,7,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/291.jpg
292,26,34,14,9,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/292.jpg
293,39,33,12,9,8,/home/mohammed/server/FMVLD/Impression_1/fp_1/293.jpg
294,17,23,18,7,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/294.jpg
295,20,32,16,7,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/295.jpg
296,27,32,8,6,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/296.jpg
297,26,28,15,4,15,/home/mohammed/server/FMVLD/Impression_1/fp_1/297.jpg
298,32,28,16,4,4,/home/mohammed/server/FMVLD/Impression_1/fp_1/298.jpg
299,17,25,12,5,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/299.jpg
300,23,22,14,4,10,/home/mohammed/server/FMVLD/Impression_1/fp_1/300.jpg
301,32,26,14,3,11,/home/mohammed/server/FMVLD/Impression_1/fp_1/301.jpg
302,31,28,21,5,9,/home/mohammed/server/FMVLD/Impression_1/fp_1/302.jpg
303,16,28,12,8,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/303.jpg
304,17,28,13,4,16,/home/mohammed/server/FMVLD/Impression_1/fp_1/304.jpg
305,22,37,18,5,13,/home/mohammed/server/FMVLD/Impression_1/fp_1/305.jpg
306,24,19,10,7,14,/home/mohammed/server/FMVLD/Impression_1/fp_1/306.jpg
307,26,21,9,11,6,/home/mohammed/server/FMVLD/Impression_1/fp_1/307.jpg
308,24,25,16,1,7,/home/mohammed/server/FMVLD/Impression_1/fp_1/308.jpg
